2.127000e+14	1.022020e+01	3.983602e-01	1.022020e+01	3.983602e-01	4.251609e+00	3.151862e-01
2.128640e+14	1.023858e+01	3.932224e-01	1.023858e+01	3.932224e-01	4.248610e+00	3.151862e-01
2.130281e+14	1.025696e+01	3.880846e-01	1.025696e+01	3.880846e-01	4.253492e+00	3.151862e-01
2.131921e+14	1.027534e+01	3.829468e-01	1.027534e+01	3.829468e-01	4.258538e+00	3.151862e-01
2.133561e+14	1.029372e+01	3.778090e-01	1.029372e+01	3.778090e-01	4.263583e+00	3.151862e-01
2.135202e+14	1.031210e+01	3.726712e-01	1.031210e+01	3.726712e-01	4.268629e+00	3.151862e-01
2.136842e+14	1.033048e+01	3.675334e-01	1.033048e+01	3.675334e-01	4.273675e+00	3.151862e-01
2.138482e+14	1.034886e+01	3.623957e-01	1.034886e+01	3.623957e-01	4.278720e+00	3.151862e-01
2.140122e+14	1.036724e+01	3.572579e-01	1.036724e+01	3.572579e-01	4.283766e+00	3.151862e-01
2.141763e+14	1.038562e+01	3.521201e-01	1.038562e+01	3.521201e-01	4.288811e+00	3.151862e-01
2.143403e+14	1.040400e+01	3.469823e-01	1.040400e+01	3.469823e-01	4.293857e+00	3.151862e-01
2.145043e+14	1.042238e+01	3.418445e-01	1.042238e+01	3.418445e-01	4.298903e+00	3.151862e-01
2.146684e+14	1.044076e+01	3.367067e-01	1.044076e+01	3.367067e-01	4.303948e+00	3.151862e-01
2.148324e+14	1.045914e+01	3.315689e-01	1.045914e+01	3.315689e-01	4.308994e+00	3.151862e-01
2.149964e+14	1.047752e+01	3.264311e-01	1.047752e+01	3.264311e-01	4.314040e+00	3.151862e-01
2.151604e+14	1.049590e+01	3.212933e-01	1.049590e+01	3.212933e-01	4.319085e+00	3.151862e-01
2.153245e+14	1.051428e+01	3.161555e-01	1.051428e+01	3.161555e-01	4.324131e+00	3.151862e-01
2.154885e+14	1.053266e+01	3.110177e-01	1.053266e+01	3.110177e-01	4.329176e+00	3.151862e-01
2.156525e+14	1.055104e+01	3.058799e-01	1.055104e+01	3.058799e-01	4.334222e+00	3.151862e-01
2.158166e+14	1.056942e+01	3.059684e-01	1.056942e+01	3.059684e-01	4.339268e+00	3.151862e-01
2.159806e+14	1.058780e+01	3.105381e-01	1.058780e+01	3.105381e-01	4.344313e+00	3.151862e-01
2.161446e+14	1.060618e+01	3.151079e-01	1.060618e+01	3.151079e-01	4.349359e+00	3.151862e-01
2.163087e+14	1.062456e+01	3.196777e-01	1.062456e+01	3.196777e-01	4.354405e+00	3.151862e-01
2.164727e+14	1.064294e+01	3.242474e-01	1.064294e+01	3.242474e-01	4.359450e+00	3.140455e-01
2.166367e+14	1.066132e+01	3.288172e-01	1.066132e+01	3.288172e-01	4.364496e+00	3.111837e-01
2.168008e+14	1.067970e+01	3.333870e-01	1.067970e+01	3.333870e-01	4.369541e+00	3.083219e-01
2.169648e+14	1.069808e+01	3.379567e-01	1.069808e+01	3.379567e-01	4.374587e+00	3.054602e-01
2.171288e+14	1.073638e+01	3.425265e-01	1.073638e+01	3.425265e-01	4.379633e+00	3.025984e-01
2.172928e+14	1.077504e+01	3.470963e-01	1.077504e+01	3.470963e-01	4.384678e+00	2.997366e-01
2.174569e+14	1.081370e+01	3.516660e-01	1.081370e+01	3.516660e-01	4.389724e+00	2.968749e-01
2.176209e+14	1.085236e+01	3.562358e-01	1.085236e+01	3.562358e-01	4.394770e+00	2.940131e-01
2.177849e+14	1.089102e+01	3.608056e-01	1.089102e+01	3.608056e-01	4.399815e+00	2.911513e-01
2.179490e+14	1.092968e+01	3.653753e-01	1.092968e+01	3.653753e-01	4.404861e+00	2.882896e-01
2.181130e+14	1.096834e+01	3.699451e-01	1.096834e+01	3.699451e-01	4.409907e+00	2.854278e-01
2.182770e+14	1.100700e+01	3.745149e-01	1.100700e+01	3.745149e-01	4.414952e+00	2.825660e-01
2.184410e+14	1.104566e+01	3.790846e-01	1.104566e+01	3.790846e-01	4.419998e+00	2.797043e-01
2.186051e+14	1.108432e+01	3.836544e-01	1.108432e+01	3.836544e-01	4.425043e+00	2.768425e-01
2.187691e+14	1.112298e+01	3.882242e-01	1.112298e+01	3.882242e-01	4.430089e+00	2.739807e-01
2.189331e+14	1.116164e+01	3.927939e-01	1.116164e+01	3.927939e-01	4.435135e+00	2.711190e-01
2.190972e+14	1.120029e+01	3.973637e-01	1.120029e+01	3.973637e-01	4.440180e+00	2.682572e-01
2.192612e+14	1.123895e+01	4.019335e-01	1.123895e+01	4.019335e-01	4.445226e+00	2.653954e-01
2.194252e+14	1.127761e+01	4.065032e-01	1.127761e+01	4.065032e-01	4.450272e+00	2.625337e-01
2.195893e+14	1.131627e+01	4.110730e-01	1.131627e+01	4.110730e-01	4.455317e+00	2.596719e-01
2.197533e+14	1.135493e+01	4.156428e-01	1.135493e+01	4.156428e-01	4.460363e+00	2.568101e-01
2.199173e+14	1.139359e+01	4.202125e-01	1.139359e+01	4.202125e-01	4.465408e+00	2.539484e-01
2.200814e+14	1.143225e+01	4.247823e-01	1.143225e+01	4.247823e-01	4.470454e+00	2.510866e-01
2.202454e+14	1.147091e+01	4.293521e-01	1.147091e+01	4.293521e-01	4.475500e+00	2.482248e-01
2.204094e+14	1.150957e+01	4.339218e-01	1.150957e+01	4.339218e-01	4.480545e+00	2.453631e-01
2.205734e+14	1.154823e+01	4.384916e-01	1.154823e+01	4.384916e-01	4.485591e+00	2.425013e-01
2.207375e+14	1.158689e+01	4.430614e-01	1.158689e+01	4.430614e-01	4.490637e+00	2.396396e-01
